Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00040137,0.00040141,0.036814,0,0,0,1.3128,0.0030233,3.8267E-05,-2.7889E-05,0.0030232,2.7889E-05,0.0045917,0,0,0,0,0,0,package://snake_robot2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://snake_robot2/meshes/base_link.STL,,snake_robot_baselink_2-1,Origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,5.5313E-09,3.6738E-09,0.010533,0,0,0,0.018285,5.7939E-06,-9.0258E-10,-4.854E-14,5.3329E-06,-9.0945E-13,1.0221E-05,0,0,0,0,0,0,package://snake_robot2/meshes/link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://snake_robot2/meshes/link1.STL,,RAIL-MODEL-2-1,C1,Axie1,joint1,revolute,0,0,0.1735,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link2,-3.6738E-09,5.5318E-09,0.010533,0,0,0,0.018285,5.3329E-06,9.0258E-10,9.0945E-13,5.7939E-06,-4.854E-14,1.0221E-05,0,0,0,0,0,0,package://snake_robot2/meshes/link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://snake_robot2/meshes/link2.STL,,RAIL-MODEL-2-2,C2,Axie2,joint2,revolute,0,0,0.021,0,0,0,link1,0,-1,0,0,0,0,0,,,,,,,,
link3,5.5313E-09,3.6738E-09,0.010533,0,0,0,0.018285,5.7939E-06,-9.0258E-10,-4.854E-14,5.3329E-06,-9.0945E-13,1.0221E-05,0,0,0,0,0,0,package://snake_robot2/meshes/link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://snake_robot2/meshes/link3.STL,,RAIL-MODEL-2-3,C3,Axie3,joint3,revolute,0,0,0.021,0,0,0,link2,1,0,0,0,0,0,0,,,,,,,,
link4,-3.6738E-09,5.5318E-09,0.010533,0,0,0,0.018285,5.3329E-06,9.0258E-10,9.0945E-13,5.7939E-06,-4.854E-14,1.0221E-05,0,0,0,0,0,0,package://snake_robot2/meshes/link4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://snake_robot2/meshes/link4.STL,,RAIL-MODEL-2-4,C4,Axie4,joint4,revolute,0,0,0.021,0,0,0,link3,0,-1,0,0,0,0,0,,,,,,,,
link5,5.5313E-09,3.6738E-09,0.010533,0,0,0,0.018285,5.7939E-06,-9.0258E-10,-4.854E-14,5.3329E-06,-9.0945E-13,1.0221E-05,0,0,0,0,0,0,package://snake_robot2/meshes/link5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://snake_robot2/meshes/link5.STL,,RAIL-MODEL-2-5,C5,Axie5,joint5,revolute,0,0,0.021,0,0,0,link4,1,0,0,0,0,0,0,,,,,,,,
